P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName	P_InvoiceNumber
067	172072	172072	expenseCategory	C	food	PT_Group12884	PT_Sup12884	PT_Add12884	PT_ContactName12884	PT_EMAIL02@test.com	PT_Phone12884	PT_SampleNotes12884	NSPT12884	PT14083	PT_Prod12884	30	5	EA	Paper Towel	PTINV12996
067	172098	172098	expenseCategory	D	food	PT_Group12885	PT_Sup12885	PT_Add12885	PT_ContactName12885	PT_EMAIL01@test.com	PT_Phone12885	PT_SampleNotes12885	NSPT12885	PT14084	PT_Prod12885	15	5	CS	Paper Towel	PTINV12997
067	172106	172106	expenseCategory	F	food	PT_Group12886	PT_Sup12886	PT_Add12886	PT_ContactName12886	PT_EMAIL02@test.com	PT_Phone12886	PT_SampleNotes12886	NSPT12886	PT14085	PT_Prod12886	20	5	EA	Meat	PTINV12998
067	172114	172114	location	D	nonFood	PT_Group12887	PT_Sup12887	PT_Add12887	PT_ContactName12887	PT_EMAIL01@test.com	PT_Phone12887	PT_SampleNotes12887	NSPT12887	PT14086	PT_Prod12887	12	5	CS	Meat	PTINV12999
067	172130	172130	expenseCategory	F	food	PT_Group12888	PT_Sup12888	PT_Add12888	PT_ContactName12888	PT_EMAIL02@test.com	PT_Phone12888	PT_SampleNotes12888	NSPT12888	PT14087	PT_Prod12888	15	5	EA	Meat	PTINV13000
067	172155	172155	expenseCategory	C	food	PT_Group12889	PT_Sup12889	PT_Add12889	PT_ContactName12889	PT_EMAIL01@test.com	PT_Phone12889	PT_SampleNotes12889	NSPT12889	PT14088	PT_Prod12889	16	5	CS	Dairy	PTINV13001
067	172189	172189	expenseCategory	D	food	PT_Group12890	PT_Sup12890	PT_Add12890	PT_ContactName12890	PT_EMAIL02@test.com	PT_Phone12890	PT_SampleNotes12890	NSPT12890	PT14089	PT_Prod12890	20	5	EA	Dairy	PTINV13002
067	172197	172197	expenseCategory	F	food	PT_Group12891	PT_Sup12891	PT_Add12891	PT_ContactName12891	PT_EMAIL01@test.com	PT_Phone12891	PT_SampleNotes12891	NSPT12891	PT14090	PT_Prod12891	25	5	CS	Dairy	PTINV13003
067	172205	172205	expenseCategory	D	nonFood	PT_Group12892	PT_Sup12892	PT_Add12892	PT_ContactName12892	PT_EMAIL02@test.com	PT_Phone12892	PT_SampleNotes12892	NSPT12892	PT14091	PT_Prod12892	10	5	EA	Paper Towel	PTINV13004
067	172221	172221	expenseCategory	F	food	PT_Group12893	PT_Sup12893	PT_Add12893	PT_ContactName12893	PT_EMAIL01@test.com	PT_Phone12893	PT_SampleNotes12893	NSPT12893	PT14092	PT_Prod12893	12	5	CS	Paper Towel	PTINV13005
067	172239	172239	expenseCategory	C	food	PT_Group12894	PT_Sup12894	PT_Add12894	PT_ContactName12894	PT_EMAIL02@test.com	PT_Phone12894	PT_SampleNotes12894	NSPT12894	PT14093	PT_Prod12894	15	5	EA	Paper Towel	PTINV13006
067	172247	172247	expenseCategory	D	food	PT_Group12895	PT_Sup12895	PT_Add12895	PT_ContactName12895	PT_EMAIL01@test.com	PT_Phone12895	PT_SampleNotes12895	NSPT12895	PT14094	PT_Prod12895	18	5	CS	Dairy	PTINV13007
067	172254	172254	location	F	food	PT_Group12896	PT_Sup12896	PT_Add12896	PT_ContactName12896	PT_EMAIL02@test.com	PT_Phone12896	PT_SampleNotes12896	NSPT12896	PT14095	PT_Prod12896	30	5	EA	Paper Towel	PTINV13008
067	172262	172262	expenseCategory	D	nonFood	PT_Group12897	PT_Sup12897	PT_Add12897	PT_ContactName12897	PT_EMAIL01@test.com	PT_Phone12897	PT_SampleNotes12897	NSPT12897	PT14096	PT_Prod12897	15	5	CS	Paper Towel	PTINV13009
067	172288	172288	expenseCategory	F	food	PT_Group12898	PT_Sup12898	PT_Add12898	PT_ContactName12898	PT_EMAIL02@test.com	PT_Phone12898	PT_SampleNotes12898	NSPT12898	PT14097	PT_Prod12898	20	5	EA	Meat	PTINV13010
067	172296	172296	expenseCategory	C	food	PT_Group12899	PT_Sup12899	PT_Add12899	PT_ContactName12899	PT_EMAIL01@test.com	PT_Phone12899	PT_SampleNotes12899	NSPT12899	PT14098	PT_Prod12899	12	5	CS	Meat	PTINV13011
067	172304	172304	expenseCategory	D	food	PT_Group12900	PT_Sup12900	PT_Add12900	PT_ContactName12900	PT_EMAIL02@test.com	PT_Phone12900	PT_SampleNotes12900	NSPT12900	PT14099	PT_Prod12900	15	5	EA	Meat	PTINV13012
067	172320	172320	expenseCategory	F	food	PT_Group12901	PT_Sup12901	PT_Add12901	PT_ContactName12901	PT_EMAIL01@test.com	PT_Phone12901	PT_SampleNotes12901	NSPT12901	PT14100	PT_Prod12901	12	5	CS	Meat	PTINV13013
067	172346	172346	expenseCategory	D	nonFood	PT_Group12902	PT_Sup12902	PT_Add12902	PT_ContactName12902	PT_EMAIL02@test.com	PT_Phone12902	PT_SampleNotes12902	NSPT12902	PT14101	PT_Prod12902	15	5	EA	Meat	PTINV13014
067	172353	172353	location	F	food	PT_Group12903	PT_Sup12903	PT_Add12903	PT_ContactName12903	PT_EMAIL01@test.com	PT_Phone12903	PT_SampleNotes12903	NSPT12903	PT14102	PT_Prod12903	16	5	CS	Meat	PTINV13015
067	172361	172361	expenseCategory	C	food	PT_Group12904	PT_Sup12904	PT_Add12904	PT_ContactName12904	PT_EMAIL02@test.com	PT_Phone12904	PT_SampleNotes12904	NSPT12904	PT14103	PT_Prod12904	20	5	EA	Dairy	PTINV13016
067	172379	172379	expenseCategory	D	food	PT_Group12905	PT_Sup12905	PT_Add12905	PT_ContactName12905	PT_EMAIL01@test.com	PT_Phone12905	PT_SampleNotes12905	NSPT12905	PT14104	PT_Prod12905	25	5	CS	Dairy	PTINV13017
067	172387	172387	expenseCategory	F	food	PT_Group12906	PT_Sup12906	PT_Add12906	PT_ContactName12906	PT_EMAIL02@test.com	PT_Phone12906	PT_SampleNotes12906	NSPT12906	PT14105	PT_Prod12906	10	5	EA	Dairy	PTINV13018
067	172395	172395	expenseCategory	D	nonFood	PT_Group12907	PT_Sup12907	PT_Add12907	PT_ContactName12907	PT_EMAIL01@test.com	PT_Phone12907	PT_SampleNotes12907	NSPT12907	PT14106	PT_Prod12907	12	5	CS	Paper Towel	PTINV13019
067	172403	172403	expenseCategory	F	food	PT_Group12908	PT_Sup12908	PT_Add12908	PT_ContactName12908	PT_EMAIL02@test.com	PT_Phone12908	PT_SampleNotes12908	NSPT12908	PT14107	PT_Prod12908	15	5	EA	Paper Towel	PTINV13020
067	172411	172411	expenseCategory	C	food	PT_Group12909	PT_Sup12909	PT_Add12909	PT_ContactName12909	PT_EMAIL01@test.com	PT_Phone12909	PT_SampleNotes12909	NSPT12909	PT14108	PT_Prod12909	18	5	CS	Paper Towel	PTINV13021
067	172429	172429	expenseCategory	D	food	PT_Group12910	PT_Sup12910	PT_Add12910	PT_ContactName12910	PT_EMAIL02@test.com	PT_Phone12910	PT_SampleNotes12910	NSPT12910	PT14109	PT_Prod12910	30	5	EA	Paper Towel	PTINV13022
067	172437	172437	location	F	food	PT_Group12911	PT_Sup12911	PT_Add12911	PT_ContactName12911	PT_EMAIL01@test.com	PT_Phone12911	PT_SampleNotes12911	NSPT12911	PT14110	PT_Prod12911	15	5	CS	Dairy	PTINV13023
067	172460	172460	expenseCategory	D	nonFood	PT_Group12912	PT_Sup12912	PT_Add12912	PT_ContactName12912	PT_EMAIL02@test.com	PT_Phone12912	PT_SampleNotes12912	NSPT12912	PT14111	PT_Prod12912	20	5	EA	Paper Towel	PTINV13024
067	172478	172478	expenseCategory	F	food	PT_Group12913	PT_Sup12913	PT_Add12913	PT_ContactName12913	PT_EMAIL01@test.com	PT_Phone12913	PT_SampleNotes12913	NSPT12913	PT14112	PT_Prod12913	12	5	CS	Meat	PTINV13025
067	172486	172486	expenseCategory	C	food	PT_Group12914	PT_Sup12914	PT_Add12914	PT_ContactName12914	PT_EMAIL02@test.com	PT_Phone12914	PT_SampleNotes12914	NSPT12914	PT14113	PT_Prod12914	15	5	EA	Meat	PTINV13026
067	172494	172494	expenseCategory	D	food	PT_Group12915	PT_Sup12915	PT_Add12915	PT_ContactName12915	PT_EMAIL01@test.com	PT_Phone12915	PT_SampleNotes12915	NSPT12915	PT14114	PT_Prod12915	16	5	CS	Meat	PTINV13027
067	172502	172502	expenseCategory	F	food	PT_Group12916	PT_Sup12916	PT_Add12916	PT_ContactName12916	PT_EMAIL02@test.com	PT_Phone12916	PT_SampleNotes12916	NSPT12916	PT14115	PT_Prod12916	20	5	EA	Dairy	PTINV13028
067	172510	172510	expenseCategory	D	nonFood	PT_Group12917	PT_Sup12917	PT_Add12917	PT_ContactName12917	PT_EMAIL01@test.com	PT_Phone12917	PT_SampleNotes12917	NSPT12917	PT14116	PT_Prod12917	25	5	CS	Dairy	PTINV13029
067	172536	172536	expenseCategory	F	food	PT_Group12918	PT_Sup12918	PT_Add12918	PT_ContactName12918	PT_EMAIL02@test.com	PT_Phone12918	PT_SampleNotes12918	NSPT12918	PT14117	PT_Prod12918	10	5	EA	Dairy	PTINV13030
067	172569	172569	expenseCategory	C	food	PT_Group12919	PT_Sup12919	PT_Add12919	PT_ContactName12919	PT_EMAIL01@test.com	PT_Phone12919	PT_SampleNotes12919	NSPT12919	PT14118	PT_Prod12919	12	5	CS	Paper Towel	PTINV13031
067	172577	172577	location	D	food	PT_Group12920	PT_Sup12920	PT_Add12920	PT_ContactName12920	PT_EMAIL02@test.com	PT_Phone12920	PT_SampleNotes12920	NSPT12920	PT14119	PT_Prod12920	15	5	EA	Paper Towel	PTINV13032
067	172585	172585	expenseCategory	F	food	PT_Group12921	PT_Sup12921	PT_Add12921	PT_ContactName12921	PT_EMAIL01@test.com	PT_Phone12921	PT_SampleNotes12921	NSPT12921	PT14120	PT_Prod12921	18	5	CS	Paper Towel	PTINV13033
067	172593	172593	expenseCategory	D	nonFood	PT_Group12922	PT_Sup12922	PT_Add12922	PT_ContactName12922	PT_EMAIL02@test.com	PT_Phone12922	PT_SampleNotes12922	NSPT12922	PT14121	PT_Prod12922	30	5	EA	Paper Towel	PTINV13034
067	172601	172601	expenseCategory	F	food	PT_Group12923	PT_Sup12923	PT_Add12923	PT_ContactName12923	PT_EMAIL01@test.com	PT_Phone12923	PT_SampleNotes12923	NSPT12923	PT14122	PT_Prod12923	15	5	CS	Meat	PTINV13035
067	172627	172627	expenseCategory	C	food	PT_Group12924	PT_Sup12924	PT_Add12924	PT_ContactName12924	PT_EMAIL02@test.com	PT_Phone12924	PT_SampleNotes12924	NSPT12924	PT14123	PT_Prod12924	20	5	EA	Meat	PTINV13036
067	172635	172635	expenseCategory	D	food	PT_Group12925	PT_Sup12925	PT_Add12925	PT_ContactName12925	PT_EMAIL01@test.com	PT_Phone12925	PT_SampleNotes12925	NSPT12925	PT14124	PT_Prod12925	12	5	CS	Meat	PTINV13037
067	172643	172643	expenseCategory	F	food	PT_Group12926	PT_Sup12926	PT_Add12926	PT_ContactName12926	PT_EMAIL02@test.com	PT_Phone12926	PT_SampleNotes12926	NSPT12926	PT14125	PT_Prod12926	15	5	EA	Dairy	PTINV13038
067	172650	172650	location	D	nonFood	PT_Group12927	PT_Sup12927	PT_Add12927	PT_ContactName12927	PT_EMAIL01@test.com	PT_Phone12927	PT_SampleNotes12927	NSPT12927	PT14126	PT_Prod12927	16	5	CS	Dairy	PTINV13039
067	172668	172668	expenseCategory	F	food	PT_Group12928	PT_Sup12928	PT_Add12928	PT_ContactName12928	PT_EMAIL02@test.com	PT_Phone12928	PT_SampleNotes12928	NSPT12928	PT14127	PT_Prod12928	20	5	EA	Dairy	PTINV13040
067	172676	172676	expenseCategory	C	food	PT_Group12929	PT_Sup12929	PT_Add12929	PT_ContactName12929	PT_EMAIL01@test.com	PT_Phone12929	PT_SampleNotes12929	NSPT12929	PT14128	PT_Prod12929	25	5	CS	Paper Towel	PTINV13041
067	172684	172684	expenseCategory	D	food	PT_Group12930	PT_Sup12930	PT_Add12930	PT_ContactName12930	PT_EMAIL02@test.com	PT_Phone12930	PT_SampleNotes12930	NSPT12930	PT14129	PT_Prod12930	10	5	EA	Paper Towel	PTINV13042
067	172692	172692	expenseCategory	F	food	PT_Group12931	PT_Sup12931	PT_Add12931	PT_ContactName12931	PT_EMAIL01@test.com	PT_Phone12931	PT_SampleNotes12931	NSPT12931	PT14130	PT_Prod12931	12	5	CS	Paper Towel	PTINV13043
067	172700	172700	expenseCategory	D	nonFood	PT_Group12932	PT_Sup12932	PT_Add12932	PT_ContactName12932	PT_EMAIL02@test.com	PT_Phone12932	PT_SampleNotes12932	NSPT12932	PT14131	PT_Prod12932	15	5	EA	Paper Towel	PTINV13044
067	172718	172718	expenseCategory	F	food	PT_Group12933	PT_Sup12933	PT_Add12933	PT_ContactName12933	PT_EMAIL01@test.com	PT_Phone12933	PT_SampleNotes12933	NSPT12933	PT14132	PT_Prod12933	18	5	CS	Dairy	PTINV13045
067	172726	172726	expenseCategory	C	food	PT_Group12934	PT_Sup12934	PT_Add12934	PT_ContactName12934	PT_EMAIL02@test.com	PT_Phone12934	PT_SampleNotes12934	NSPT12934	PT14133	PT_Prod12934	30	5	EA	Paper Towel	PTINV13046
067	172734	172734	location	D	food	PT_Group12935	PT_Sup12935	PT_Add12935	PT_ContactName12935	PT_EMAIL01@test.com	PT_Phone12935	PT_SampleNotes12935	NSPT12935	PT14134	PT_Prod12935	15	5	CS	Paper Towel	PTINV13047
067	172742	172742	expenseCategory	F	food	PT_Group12936	PT_Sup12936	PT_Add12936	PT_ContactName12936	PT_EMAIL02@test.com	PT_Phone12936	PT_SampleNotes12936	NSPT12936	PT14135	PT_Prod12936	20	5	EA	Meat	PTINV13048
067	172759	172759	expenseCategory	D	nonFood	PT_Group12937	PT_Sup12937	PT_Add12937	PT_ContactName12937	PT_EMAIL01@test.com	PT_Phone12937	PT_SampleNotes12937	NSPT12937	PT14136	PT_Prod12937	12	5	CS	Meat	PTINV13049
067	172767	172767	expenseCategory	F	food	PT_Group12938	PT_Sup12938	PT_Add12938	PT_ContactName12938	PT_EMAIL02@test.com	PT_Phone12938	PT_SampleNotes12938	NSPT12938	PT14137	PT_Prod12938	15	5	EA	Meat	PTINV13050
067	172775	172775	expenseCategory	C	food	PT_Group12939	PT_Sup12939	PT_Add12939	PT_ContactName12939	PT_EMAIL01@test.com	PT_Phone12939	PT_SampleNotes12939	NSPT12939	PT14138	PT_Prod12939	16	5	CS	Dairy	PTINV13051
067	172783	172783	expenseCategory	D	food	PT_Group12940	PT_Sup12940	PT_Add12940	PT_ContactName12940	PT_EMAIL02@test.com	PT_Phone12940	PT_SampleNotes12940	NSPT12940	PT14139	PT_Prod12940	20	5	EA	Dairy	PTINV13052
067	172791	172791	expenseCategory	F	food	PT_Group12941	PT_Sup12941	PT_Add12941	PT_ContactName12941	PT_EMAIL01@test.com	PT_Phone12941	PT_SampleNotes12941	NSPT12941	PT14140	PT_Prod12941	25	5	CS	Dairy	PTINV13053
067	172809	172809	expenseCategory	D	nonFood	PT_Group12942	PT_Sup12942	PT_Add12942	PT_ContactName12942	PT_EMAIL02@test.com	PT_Phone12942	PT_SampleNotes12942	NSPT12942	PT14141	PT_Prod12942	10	5	EA	Paper Towel	PTINV13054
067	172817	172817	expenseCategory	F	food	PT_Group12943	PT_Sup12943	PT_Add12943	PT_ContactName12943	PT_EMAIL01@test.com	PT_Phone12943	PT_SampleNotes12943	NSPT12943	PT14142	PT_Prod12943	12	5	CS	Paper Towel	PTINV13055
067	172825	172825	location	C	food	PT_Group12944	PT_Sup12944	PT_Add12944	PT_ContactName12944	PT_EMAIL02@test.com	PT_Phone12944	PT_SampleNotes12944	NSPT12944	PT14143	PT_Prod12944	15	5	EA	Paper Towel	PTINV13056
067	172833	172833	expenseCategory	D	food	PT_Group12945	PT_Sup12945	PT_Add12945	PT_ContactName12945	PT_EMAIL01@test.com	PT_Phone12945	PT_SampleNotes12945	NSPT12945	PT14144	PT_Prod12945	18	5	CS	Dairy	PTINV13057
067	172841	172841	expenseCategory	F	food	PT_Group12946	PT_Sup12946	PT_Add12946	PT_ContactName12946	PT_EMAIL02@test.com	PT_Phone12946	PT_SampleNotes12946	NSPT12946	PT14145	PT_Prod12946	30	5	EA	Paper Towel	PTINV13058
067	172858	172858	expenseCategory	D	nonFood	PT_Group12947	PT_Sup12947	PT_Add12947	PT_ContactName12947	PT_EMAIL01@test.com	PT_Phone12947	PT_SampleNotes12947	NSPT12947	PT14146	PT_Prod12947	15	5	CS	Paper Towel	PTINV13059
067	172866	172866	expenseCategory	F	food	PT_Group12948	PT_Sup12948	PT_Add12948	PT_ContactName12948	PT_EMAIL02@test.com	PT_Phone12948	PT_SampleNotes12948	NSPT12948	PT14147	PT_Prod12948	20	5	EA	Meat	PTINV13060
067	172874	172874	expenseCategory	C	food	PT_Group12949	PT_Sup12949	PT_Add12949	PT_ContactName12949	PT_EMAIL01@test.com	PT_Phone12949	PT_SampleNotes12949	NSPT12949	PT14148	PT_Prod12949	12	5	CS	Meat	PTINV13061
067	172882	172882	expenseCategory	D	food	PT_Group12950	PT_Sup12950	PT_Add12950	PT_ContactName12950	PT_EMAIL02@test.com	PT_Phone12950	PT_SampleNotes12950	NSPT12950	PT14149	PT_Prod12950	15	5	EA	Meat	PTINV13062
067	172890	172890	location	F	food	PT_Group12951	PT_Sup12951	PT_Add12951	PT_ContactName12951	PT_EMAIL01@test.com	PT_Phone12951	PT_SampleNotes12951	NSPT12951	PT14150	PT_Prod12951	12	5	CS	Meat	PTINV13063
067	172908	172908	expenseCategory	D	nonFood	PT_Group12952	PT_Sup12952	PT_Add12952	PT_ContactName12952	PT_EMAIL02@test.com	PT_Phone12952	PT_SampleNotes12952	NSPT12952	PT14151	PT_Prod12952	15	5	EA	Meat	PTINV13064
067	172916	172916	expenseCategory	F	food	PT_Group12953	PT_Sup12953	PT_Add12953	PT_ContactName12953	PT_EMAIL01@test.com	PT_Phone12953	PT_SampleNotes12953	NSPT12953	PT14152	PT_Prod12953	16	5	CS	Meat	PTINV13065
067	172924	172924	expenseCategory	C	food	PT_Group12954	PT_Sup12954	PT_Add12954	PT_ContactName12954	PT_EMAIL02@test.com	PT_Phone12954	PT_SampleNotes12954	NSPT12954	PT14153	PT_Prod12954	20	5	EA	Dairy	PTINV13066
067	172932	172932	expenseCategory	D	food	PT_Group12955	PT_Sup12955	PT_Add12955	PT_ContactName12955	PT_EMAIL01@test.com	PT_Phone12955	PT_SampleNotes12955	NSPT12955	PT14154	PT_Prod12955	25	5	CS	Dairy	PTINV13067
067	172940	172940	expenseCategory	F	food	PT_Group12956	PT_Sup12956	PT_Add12956	PT_ContactName12956	PT_EMAIL02@test.com	PT_Phone12956	PT_SampleNotes12956	NSPT12956	PT14155	PT_Prod12956	10	5	EA	Dairy	PTINV13068
067	172957	172957	expenseCategory	D	nonFood	PT_Group12957	PT_Sup12957	PT_Add12957	PT_ContactName12957	PT_EMAIL01@test.com	PT_Phone12957	PT_SampleNotes12957	NSPT12957	PT14156	PT_Prod12957	12	5	CS	Paper Towel	PTINV13069
067	172965	172965	expenseCategory	F	food	PT_Group12958	PT_Sup12958	PT_Add12958	PT_ContactName12958	PT_EMAIL02@test.com	PT_Phone12958	PT_SampleNotes12958	NSPT12958	PT14157	PT_Prod12958	15	5	EA	Paper Towel	PTINV13070
067	172973	172973	location	C	food	PT_Group12959	PT_Sup12959	PT_Add12959	PT_ContactName12959	PT_EMAIL01@test.com	PT_Phone12959	PT_SampleNotes12959	NSPT12959	PT14158	PT_Prod12959	18	5	CS	Paper Towel	PTINV13071
067	172981	172981	expenseCategory	D	food	PT_Group12960	PT_Sup12960	PT_Add12960	PT_ContactName12960	PT_EMAIL02@test.com	PT_Phone12960	PT_SampleNotes12960	NSPT12960	PT14159	PT_Prod12960	30	5	EA	Paper Towel	PTINV13072
067	172999	172999	expenseCategory	F	food	PT_Group12961	PT_Sup12961	PT_Add12961	PT_ContactName12961	PT_EMAIL01@test.com	PT_Phone12961	PT_SampleNotes12961	NSPT12961	PT14160	PT_Prod12961	15	5	CS	Dairy	PTINV13073
067	173005	173005	expenseCategory	D	nonFood	PT_Group12962	PT_Sup12962	PT_Add12962	PT_ContactName12962	PT_EMAIL02@test.com	PT_Phone12962	PT_SampleNotes12962	NSPT12962	PT14161	PT_Prod12962	20	5	EA	Paper Towel	PTINV13074
067	173013	173013	expenseCategory	F	food	PT_Group12963	PT_Sup12963	PT_Add12963	PT_ContactName12963	PT_EMAIL01@test.com	PT_Phone12963	PT_SampleNotes12963	NSPT12963	PT14162	PT_Prod12963	12	5	CS	Meat	PTINV13075
067	173021	173021	expenseCategory	C	food	PT_Group12964	PT_Sup12964	PT_Add12964	PT_ContactName12964	PT_EMAIL02@test.com	PT_Phone12964	PT_SampleNotes12964	NSPT12964	PT14163	PT_Prod12964	15	5	EA	Meat	PTINV13076
067	173039	173039	expenseCategory	D	food	PT_Group12965	PT_Sup12965	PT_Add12965	PT_ContactName12965	PT_EMAIL01@test.com	PT_Phone12965	PT_SampleNotes12965	NSPT12965	PT14164	PT_Prod12965	16	5	CS	Meat	PTINV13077
